CrimeDate,CrimeTime,CrimeCode,Location,Description,Weapon,Post,District,Neighborhood,Location 1,crimeCaseNumber
4/27/16,2345,1F,4700 LIBERTY HEIGHTS AV,HOMICIDE,FIREARM,622,NORTHWESTERN,Howard Park,"(39.3314600000, -76.6958000000)",
4/26/16,1907,1F,2700 ASHLAND AV,HOMICIDE,FIREARM,323,EASTERN,Madison-Eastend,"(39.3011000000, -76.5795000000)",
4/26/16,2136,1F,3200 E BALTIMORE ST,HOMICIDE,FIREARM,222,SOUTHEASTERN,Patterson Park Neighborhood,"(39.2923600000, -76.5721800000)",
4/26/16,2200,1F,500 N LOUDON AV,HOMICIDE,FIREARM,843,SOUTHWESTERN,Allendale,"(39.2925500000, -76.6825800000)",
4/25/16,34,1F,2500 JEFFERSON ST,HOMICIDE,FIREARM,221,SOUTHEASTERN,McElderry Park,"(39.2967800000, -76.5817200000)",
4/25/16,2253,1F,800 ASHBURTON ST,HOMICIDE,FIREARM,721,WESTERN,Mosher,"(39.2973400000, -76.6615900000)",
4/25/16,2330,1F,5400 PURDUE AV,HOMICIDE,FIREARM,414,NORTHEASTERN,Woodbourne Heights,"(39.3546100000, -76.5934000000)",
4/24/16,1917,1F,1400 E FAYETTE ST,HOMICIDE,FIREARM,212,SOUTHEASTERN,Dunbar-Broadway,"(39.2930100000, -76.5980500000)",
4/24/16,2233,1F,1400 MYRTLE AV,HOMICIDE,FIREARM,123,CENTRAL,Upton,"(39.2998300000, -76.6336600000)",
4/22/16,1953,1F,3400 REISTERSTOWN RD,HOMICIDE,FIREARM,612,NORTHWESTERN,Park Circle,"(39.3274900000, -76.6591600000)",
4/19/16,59,1F,3600 ESTHER PL,HOMICIDE,FIREARM,223,SOUTHEASTERN,Baltimore Highlands,"(39.2943800000, -76.5672600000)",
4/19/16,711,1F,4000 WILSBY AV,HOMICIDE,FIREARM,542,NORTHERN,Pen Lucy,"(39.3383000000, -76.6045700000)",
4/18/16,1353,1F,1200 BONAPARTE AV,HOMICIDE,FIREARM,342,EASTERN,East Baltimore Midway,"(39.3154400000, -76.5999800000)",
4/17/16,216,1F,600 N DUNCAN ST,HOMICIDE,FIREARM,321,EASTERN,CARE,"(39.2976500000, -76.5872400000)",
